Date,Open,High,Low,Close,Volume
17-Jan-14,57.30,57.82,56.07,56.30,40883205
16-Jan-14,57.26,58.02,56.83,57.19,34599775
15-Jan-14,57.98,58.57,57.27,57.60,33730619
14-Jan-14,56.46,57.78,56.10,57.74,37590987
13-Jan-14,57.91,58.25,55.38,55.91,63106519
10-Jan-14,57.13,58.30,57.06,57.94,42529258
9-Jan-14,58.65,58.96,56.65,57.22,92349222
8-Jan-14,57.60,58.41,57.23,58.23,56800776
7-Jan-14,57.70,58.55,57.22,57.92,77329009
6-Jan-14,54.42,57.26,54.05,57.20,68974359
3-Jan-14,55.02,55.65,54.53,54.56,38287706
2-Jan-14,54.83,55.22,54.19,54.71,43257622
31-Dec-13,54.12,54.86,53.91,54.65,43152127
30-Dec-13,54.93,55.18,53.43,53.71,68307317
27-Dec-13,57.48,57.68,55.25,55.44,60465751
26-Dec-13,58.32,58.38,57.37,57.73,55101367
24-Dec-13,58.27,58.58,56.91,57.96,46617754
23-Dec-13,55.50,58.32,55.45,57.77,98296983
20-Dec-13,54.91,55.15,54.23,55.12,239823912
19-Dec-13,54.34,55.19,53.95,55.05,89825393
18-Dec-13,55.57,55.89,53.75,55.57,76003479
17-Dec-13,54.75,55.18,54.24,54.86,78751463
16-Dec-13,53.27,54.50,52.91,53.81,85118518
13-Dec-13,51.61,53.50,51.34,53.32,82640992
12-Dec-13,51.03,52.07,50.66,51.83,92723034
11-Dec-13,50.56,50.77,49.01,49.38,65776366
10-Dec-13,48.62,50.77,48.54,50.24,68478561
9-Dec-13,48.06,48.97,47.74,48.84,36055891
6-Dec-13,48.98,49.39,47.71,47.94,42937659
5-Dec-13,48.15,48.70,47.87,48.34,43855036
4-Dec-13,46.46,48.77,46.26,48.62,60890176
3-Dec-13,46.75,47.20,46.29,46.73,32085905
2-Dec-13,46.90,47.54,46.26,47.06,50773647
29-Nov-13,46.75,47.21,46.50,47.01,22953916
27-Nov-13,45.97,46.67,45.53,46.49,44993195
26-Nov-13,44.66,46.17,43.55,45.89,82016490
25-Nov-13,46.36,46.65,44.04,44.82,82565324
22-Nov-13,47.04,47.27,45.96,46.23,40545375
21-Nov-13,46.99,47.46,46.68,46.70,34886170
20-Nov-13,46.61,47.55,46.31,46.43,53932698
19-Nov-13,46.26,47.00,45.72,46.36,75602413
18-Nov-13,48.47,48.84,45.80,45.83,85909884
15-Nov-13,49.11,49.48,48.71,49.01,42452937
14-Nov-13,48.70,49.57,48.03,48.99,75117049
13-Nov-13,46.23,48.74,46.06,48.71,79245346
12-Nov-13,46.00,47.37,45.83,46.60,68195832
11-Nov-13,47.04,47.53,45.73,46.20,80909626
8-Nov-13,47.81,48.65,47.25,47.53,70731178
7-Nov-13,49.24,49.87,47.30,47.56,97127618
6-Nov-13,50.26,50.45,48.71,49.12,67889337
5-Nov-13,47.79,50.18,47.51,50.10,76835006
4-Nov-13,49.36,49.75,48.02,48.22,80371218
1-Nov-13,50.85,52.09,49.72,49.75,95032876
31-Oct-13,47.16,52.00,46.50,50.20,248809006
30-Oct-13,50.00,50.21,48.75,49.01,127072652
29-Oct-13,50.73,50.79,49.25,49.40,102143469
28-Oct-13,51.54,51.70,49.61,50.23,73472347
25-Oct-13,53.18,53.24,51.88,51.95,45085348
24-Oct-13,52.38,52.84,51.59,52.44,46775185
23-Oct-13,51.75,52.25,51.13,51.90,57207154
22-Oct-13,54.33,54.76,52.20,52.68,83203892
21-Oct-13,54.68,54.81,53.51,53.85,58235283
18-Oct-13,54.18,54.82,53.60,54.22,88260093
17-Oct-13,51.12,52.22,50.95,52.21,71521899
16-Oct-13,50.04,51.24,49.90,51.14,64678247
15-Oct-13,49.99,51.00,49.18,49.50,81166571
14-Oct-13,48.31,49.63,47.91,49.51,68780552
11-Oct-13,49.18,49.87,48.79,49.11,58428451
10-Oct-13,47.86,49.68,47.83,49.05,99773784
9-Oct-13,47.38,47.84,45.26,46.77,147296862
8-Oct-13,50.60,50.60,47.08,47.14,136081330
7-Oct-13,50.73,51.29,50.40,50.52,57203957
4-Oct-13,49.77,51.16,49.57,51.04,74446947
3-Oct-13,50.47,50.72,49.06,49.18,82045323
2-Oct-13,50.13,51.10,49.95,50.28,62834429
1-Oct-13,49.97,51.03,49.45,50.42,98113699
30-Sep-13,50.14,51.60,49.80,50.23,100095417
27-Sep-13,50.29,51.28,49.86,51.24,81410460
26-Sep-13,50.01,50.60,49.50,50.39,98220046
25-Sep-13,49.23,49.54,48.46,49.46,87879619
24-Sep-13,48.50,49.66,48.16,48.45,136716101
23-Sep-13,47.28,47.55,46.29,47.19,75319202
20-Sep-13,46.32,47.60,45.74,47.49,115508400
19-Sep-13,45.51,46.05,45.23,45.98,63972369
18-Sep-13,44.84,45.47,44.40,45.23,79316945
17-Sep-13,42.50,45.44,42.43,45.07,91934557
16-Sep-13,44.85,44.94,42.43,42.51,70807761
13-Sep-13,45.04,45.08,43.93,44.31,52765299
12-Sep-13,45.53,45.62,44.65,44.75,68072239
11-Sep-13,43.39,45.09,43.11,45.04,71676653
10-Sep-13,44.24,44.26,43.23,43.60,54540282
9-Sep-13,44.36,44.79,43.70,44.04,75794696
6-Sep-13,43.09,44.61,42.40,43.95,117535626
5-Sep-13,41.79,42.76,41.77,42.66,50035380
4-Sep-13,42.01,42.17,41.44,41.78,42581854
3-Sep-13,41.84,42.16,41.51,41.87,48774896
30-Aug-13,42.02,42.26,41.06,41.29,67735053
29-Aug-13,40.89,41.78,40.80,41.28,58303395
28-Aug-13,39.96,40.85,39.88,40.55,57918194
27-Aug-13,40.68,41.20,39.42,39.64,72695050
26-Aug-13,40.90,41.94,40.62,41.34,94162358
23-Aug-13,39.00,40.63,38.93,40.55,86442283
22-Aug-13,38.37,38.75,38.34,38.55,21931163
21-Aug-13,38.38,38.85,38.14,38.32,46116868
20-Aug-13,38.35,38.58,37.69,38.41,57995140
19-Aug-13,37.43,38.28,37.14,37.81,57609591
16-Aug-13,36.97,37.49,36.90,37.08,45840714
15-Aug-13,36.36,37.07,36.02,36.56,56521095
14-Aug-13,36.83,37.55,36.62,36.65,48423890
13-Aug-13,38.24,38.32,36.77,37.02,65379198
12-Aug-13,38.20,38.50,38.10,38.22,31160951
9-Aug-13,38.59,38.74,38.01,38.50,43620024
8-Aug-13,39.13,39.19,38.43,38.54,41300906
7-Aug-13,38.61,38.94,37.70,38.87,68854764
6-Aug-13,39.11,39.25,37.94,38.55,63950791
5-Aug-13,38.43,39.32,38.25,39.19,79994774
2-Aug-13,37.66,38.49,37.50,38.05,73058424
1-Aug-13,37.30,38.29,36.92,37.49,106066472
31-Jul-13,37.96,38.31,36.33,36.80,154828679
30-Jul-13,35.65,37.96,35.32,37.63,173582710
29-Jul-13,34.07,35.63,34.01,35.43,124884870
26-Jul-13,33.77,34.73,33.56,34.01,136028897
25-Jul-13,33.54,34.88,32.75,34.36,365935212
24-Jul-13,26.32,26.53,26.05,26.51,82635587
23-Jul-13,26.10,26.30,25.97,26.13,28221534
22-Jul-13,25.99,26.13,25.72,26.04,27526213
19-Jul-13,25.82,26.11,25.60,25.88,46544938
18-Jul-13,26.75,26.77,26.12,26.18,24806825
17-Jul-13,26.37,26.78,26.30,26.65,21518463
16-Jul-13,26.39,26.75,26.01,26.32,30817554
15-Jul-13,25.93,26.43,25.65,26.28,24233957
12-Jul-13,25.74,25.93,25.55,25.91,16537840
11-Jul-13,25.96,26.00,25.45,25.81,26777354
10-Jul-13,25.58,25.83,25.47,25.80,26721794
9-Jul-13,25.07,25.49,25.03,25.48,30387889
8-Jul-13,24.47,25.04,24.42,24.71,27073983
5-Jul-13,24.65,24.66,24.20,24.37,20229451
3-Jul-13,24.22,24.71,24.15,24.52,10404332
2-Jul-13,24.70,24.77,24.30,24.41,18394008
1-Jul-13,24.97,25.06,24.62,24.81,20582195
28-Jun-13,24.68,24.98,24.42,24.88,96778879
27-Jun-13,24.24,24.84,24.21,24.66,34694013
26-Jun-13,24.51,24.65,23.99,24.16,29890205
25-Jun-13,24.14,24.43,24.04,24.25,24719988
24-Jun-13,23.95,24.11,23.38,23.94,40625948
21-Jun-13,24.59,24.70,24.05,24.53,45826173
20-Jun-13,24.28,24.74,23.65,23.90,42765586
19-Jun-13,24.20,25.19,24.10,24.31,31790525
18-Jun-13,24.09,24.69,24.08,24.21,36709004
17-Jun-13,23.91,24.25,23.75,24.02,33664419
14-Jun-13,23.56,23.89,23.26,23.63,30561387
13-Jun-13,23.72,23.83,23.26,23.73,31189247
12-Jun-13,24.16,24.26,23.58,23.77,26445790
11-Jun-13,24.03,24.35,24.00,24.03,29676383
